seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	227749193	227749292	100	*	X0053	339500	227751220	227910352	159133	+	1927	upstream	1927	ZNF678
chr1	228003491	228003718	228	*	X0062	339501	228003418	228034171	30754	+	0	inside	72	PRSS38
chr10	123735276	123735282	7	*	X0122	54780	123716603	123734743	18141	-	532	upstream	532	NSMCE4A
chr11	74801938	74802057	120	*	X0183	341152	74799796	74800758	963	-	1179	upstream	1179	OR2AT4
chr11	117957625	117957700	76	*	X0191	100526771	117886487	117957508	71022	-	116	upstream	116	SMIM35
chr12	133187812	133187976	165	*	X0277	100507055	133179736	133187037	7302	-	774	upstream	774	LRCOL1
chr12	133188037	133188288	252	*	X0278	100507055	133179736	133187037	7302	-	999	upstream	999	LRCOL1
chr12	133188817	133188848	32	*	X0279	100507055	133179736	133187037	7302	-	1779	upstream	1779	LRCOL1
chr12	133812714	133812833	120	*	X0296	647589	133794898	133812422	17525	-	291	upstream	291	ANHX
chr12	133812879	133812998	120	*	X0297	647589	133794898	133812422	17525	-	456	upstream	456	ANHX
chr12	133813089	133813193	105	*	X0298	647589	133794898	133812422	17525	-	666	upstream	666	ANHX
chr14	105390295	105390332	38	*	X0362	122618	105391187	105399573	8387	+	854	upstream	854	PLD4
chr15	20486022	20486172	151	*	X0370	646096	20487997	20496811	8815	+	1824	upstream	1824	CHEK2P2
chr15	20487744	20487848	105	*	X0371	646096	20487997	20496811	8815	+	148	upstream	148	CHEK2P2
chr16	3423322	3423474	153	*	X0418	100463285	3421053	3422283	1231	-	1038	upstream	1038	MTRNR2L4
chr16	29984569	29984673	105	*	X0431	9344	29985188	30003582	18395	+	514	upstream	514	TAOK2
chr19	2867261	2867335	75	*	X0518	80032	2867333	2878503	11171	+	0	overlapStart	0	ZNF556
chr19	3869095	3869377	283	*	X0523	23217	3804022	3869027	65006	-	67	upstream	67	ZFR2
chr19	3869408	3869542	135	*	X0524	23217	3804022	3869027	65006	-	380	upstream	380	ZFR2
chr19	9609468	9609613	146	*	X0542	147741	9577031	9609279	32249	-	188	upstream	188	ZNF560
chr19	22195043	22195147	105	*	X0561	7757	22115760	22193745	77986	-	1297	upstream	1297	ZNF208
chr19	22778735	22778884	150	*	X0577	440518	22779059	22786352	7294	+	174	upstream	174	GOLGA2P9
chr19	22779080	22779169	90	*	X0578	440518	22779059	22786352	7294	+	0	inside	20	GOLGA2P9
chr19	23941699	23941908	210	*	X0606	148213	23921997	23941693	19697	-	5	upstream	5	ZNF681
chr19	41620239	41620373	135	*	X0685	1572	41620353	41634281	13929	+	0	overlapStart	0	CYP2F1
chr19	43774746	43774878	133	*	X0694	5678	43757435	43773682	16248	-	1063	upstream	1063	PSG9
chr19	44324505	44324654	150	*	X0696	284348	44300079	44324808	24730	-	0	inside	153	LYPD5
chr19	44407671	44407790	120	*	X0699	100505715	44395956	44405955	10000	-	1715	upstream	1715	LOC100505715
chr19	52395674	52395747	74	*	X0727	84765	52359056	52394145	35090	-	1528	upstream	1528	ZNF577
chr19	52871831	52871961	131	*	X0731	400713	52873170	52893597	20428	+	1208	upstream	1208	ZNF880
chr19	52956630	52956719	90	*	X0735	147660	52956829	53020131	63303	+	109	upstream	109	ZNF578
chr19	56457967	56458071	105	*	X0753	126205	56459198	56499995	40798	+	1126	upstream	1126	NLRP8
chr19	57154106	57154210	105	*	X0762	147670	57154527	57168614	14088	+	316	upstream	316	SMIM17
chr19	57154331	57154525	195	*	X0763	147670	57154527	57168614	14088	+	1	upstream	1	SMIM17
chr19	57154796	57154864	69	*	X0764	147670	57154527	57168614	14088	+	0	inside	268	SMIM17
chr19	57351305	57351424	120	*	X0783	100073347	57352270	57359922	7653	+	845	upstream	845	MIMT1
chr19	57351515	57351594	80	*	X0784	100073347	57352270	57359922	7653	+	675	upstream	675	MIMT1
chr19	57352305	57352329	25	*	X0785	100073347	57352270	57359922	7653	+	0	inside	34	MIMT1
chr19	57352305	57352329	25	*	X0785	23619	57285923	57352097	66175	-	207	upstream	207	ZIM2
chr19	57352305	57352329	25	*	X0785	5178	57321445	57352094	30650	-	210	upstream	210	PEG3
chr19	57352384	57352424	41	*	X0786	100073347	57352270	57359922	7653	+	0	inside	113	MIMT1
chr19	57352384	57352424	41	*	X0786	23619	57285923	57352097	66175	-	286	upstream	286	ZIM2
chr19	57352384	57352424	41	*	X0786	5178	57321445	57352094	30650	-	289	upstream	289	PEG3
chr19	57631550	57631639	90	*	X0821	57663	57631509	57643293	11785	+	0	inside	40	USP29
chr19	58037034	58037069	36	*	X0828	256051	58038693	58052244	13552	+	1623	upstream	1623	ZNF549
chr19	58629829	58629918	90	*	X0841	65982	58595209	58629793	34585	-	35	upstream	35	ZSCAN18
chr2	46704970	46705074	105	*	X0866	388946	46706704	46711564	4861	+	1629	upstream	1629	TMEM247
chr20	45086755	45086814	60	*	X0985	100130934	45085132	45086282	1151	-	472	upstream	472	ZNF663P
chr21	39601742	39601853	112	*	X1014	3772	39601837	39673746	71910	+	0	overlapStart	0	KCNJ15
chr22	21332590	21332680	91	*	X1015	8216	21333751	21353326	19576	+	1070	upstream	1070	LZTR1
chr22	44895992	44896023	32	*	X1020	84247	44888450	44894005	5556	-	1986	upstream	1986	RTL6
chr22	45808917	45809138	222	*	X1021	26150	45809572	45828302	18731	+	433	upstream	433	RIBC2
chr3	44752406	44752592	187	*	X1040	91392	44754135	44765323	11189	+	1542	upstream	1542	ZNF502
chr3	56717916	56718005	90	*	X1045	23272	56654160	56717135	62976	-	780	upstream	780	TASOR
chr3	138152503	138152568	66	*	X1079	83850	138153415	138197256	43842	+	846	upstream	846	ESYT3
chr3	170627834	170627856	23	*	X1086	56648	170606204	170626426	20223	-	1407	upstream	1407	EIF5A2
chr5	140512816	140512816	1	*	X1170	26167	140514800	140517704	2905	+	1983	upstream	1983	PCDHB5
chr5	140722569	140722643	75	*	X1171	56112	140723601	140892548	168948	+	957	upstream	957	PCDHGA3
chr5	178366759	178366766	8	*	X1198	285676	178368194	178393218	25025	+	1427	upstream	1427	ZNF454
chr7	142984538	142984620	83	*	X1324	835	142985308	143004789	19482	+	687	upstream	687	CASP2
chr8	144243317	144243435	119	*	X1410	4062	144239331	144242053	2723	-	1263	upstream	1263	LY6H
chr9	134615748	134615881	134	*	X1458	2889	134452157	134615217	163061	-	530	upstream	530	RAPGEF1
chr9	137743055	137743159	105	*	X1465	100500846	137741021	137742490	1470	-	564	upstream	564	MIR3689A
chr9	137743055	137743159	105	*	X1465	100500906	137741971	137742118	148	-	936	upstream	936	MIR3689B
chr9	137743055	137743159	105	*	X1465	100616131	137741455	137741528	74	-	1526	upstream	1526	MIR3689D1
chr9	137743055	137743159	105	*	X1465	100616212	137742588	137742653	66	-	401	upstream	401	MIR3689F
chr9	137743055	137743159	105	*	X1465	100616333	137741144	137741215	72	-	1839	upstream	1839	MIR3689C
chr9	137743055	137743159	105	*	X1465	100616344	137742123	137742202	80	-	852	upstream	852	MIR3689D2
chr9	137743055	137743159	105	*	X1465	100616460	137742416	137742487	72	-	567	upstream	567	MIR3689E
